Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0603_1608Metric,191.961237,-60.712,180.0,top
C10,100n,C_0603_1608Metric,136.426237,-122.687,90.0,top
C11,100n,C_0603_1608Metric,59.136237,-57.912,180.0,top
C12,100n,C_0603_1608Metric,160.936237,-48.337,90.0,top
C13,100n,C_0603_1608Metric,53.536237,-38.162,180.0,top
C14,100n,C_0603_1608Metric,170.761237,-103.112,0.0,top
C15,100n,C_0603_1608Metric,93.911237,-91.712,180.0,top
C16,100n,C_0603_1608Metric,166.336237,-69.412,180.0,top
C2,22p,C_0603_1608Metric,191.161237,-73.912,0.0,top
C3,10u,C_0603_1608Metric,50.136237,-106.187,90.0,top
C4,10u,C_0603_1608Metric,110.561237,-72.112,0.0,top
C5,100n,C_0603_1608Metric,97.761237,-109.312,0.0,top
C6,100n,C_0603_1608Metric,165.311237,-123.612,0.0,top
C7,100n,C_0603_1608Metric,62.511237,-73.512,0.0,top
C8,100n,C_0603_1608Metric,192.036237,-56.012,0.0,top
C9,100n,C_0603_1608Metric,155.386237,-49.462,180.0,top
Q1,AO3401A,SOT-23,130.722487,-41.862,0.0,top
Q10,AO3400A,SOT-23,171.682487,-43.863,0.0,top
Q11,AO3401A,SOT-23,180.489987,-43.913,0.0,top
Q12,AO3400A,SOT-23,176.282487,-43.863,0.0,top
Q13,AO3401A,SOT-23,150.473737,-40.662,0.0,top
Q14,AO3400A,SOT-23,154.673737,-40.662,0.0,top
Q15,AO3401A,SOT-23,163.473737,-40.662,0.0,top
Q16,AO3400A,SOT-23,158.936237,-40.662,0.0,top
Q2,AO3400A,SOT-23,134.659987,-41.912,0.0,top
Q3,AO3401A,SOT-23,143.074987,-42.012,0.0,top
Q4,AO3400A,SOT-23,138.722487,-42.062,0.0,top
Q5,AO3401A,SOT-23,167.873737,-39.962,0.0,top
Q6,AO3400A,SOT-23,172.273737,-39.762,0.0,top
Q7,AO3401A,SOT-23,180.398737,-39.712,0.0,top
Q8,AO3400A,SOT-23,176.198737,-39.712,0.0,top
Q9,AO3401A,SOT-23,166.282487,-43.863,0.0,top
R1,1k,R_0603_1608Metric,66.336237,-115.112,90.0,top
R2,1k,R_0603_1608Metric,87.036237,-120.612,-90.0,top
R3,1k,R_0603_1608Metric,48.536237,-46.337,90.0,top
R4,1k,R_0603_1608Metric,48.136237,-49.912,90.0,top
U12,AMS1117-3.3,SOT-223-3_TabPin2,149.236237,-46.862,90.0,top
U4,74HC245D,SOIC-20W_7.5x12.8mm_P1.27mm,94.336237,-67.512,-90.0,top
U6,74HC245D,SOIC-20W_7.5x12.8mm_P1.27mm,93.237237,-101.653,0.0,top
U7,74HC245D,SOIC-20W_7.5x12.8mm_P1.27mm,93.087237,-83.208,0.0,top
Y2,16Mhz,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,190.936237,-67.312,90.0,top
